Origen,Destino,Modo,Horario,Tiempo
Av. Directorio e/Miro y Achaval,Balcarce 1,transit,,34
Av. Directorio e/Miro y Achaval,Entre Ríos y Rivadavia,bicycling,,24
Av. Directorio e/Miro y Achaval,Entre Ríos y Rivadavia,transit,,26
AVENIDA LACROZE y CHARLONE,Balcarce 1,transit,,34
AVENIDA LACROZE y CHARLONE,Entre Ríos y Rivadavia,bicycling,,30
AVENIDA LACROZE y CHARLONE,Entre Ríos y Rivadavia,transit,,30
ANTEZANA 501,Balcarce 1,transit,,49
ANTEZANA 501,Entre Ríos y Rivadavia,bicycling,,22
ANTEZANA 501,Entre Ríos y Rivadavia,transit,,40
GASCON 1101,Balcarce 1,transit,,28
GASCON 1101,Entre Ríos y Rivadavia,bicycling,,19
GASCON 1101,Entre Ríos y Rivadavia,transit,,37
Gallo 1501,Balcarce 1,transit,,18
Gallo 1501,Entre Ríos y Rivadavia,bicycling,,14
Gallo 1501,Entre Ríos y Rivadavia,transit,,27
Avenida Honorio Pueyrredon 1701,Balcarce 1,transit,,53
Avenida Honorio Pueyrredon 1701,Entre Ríos y Rivadavia,bicycling,,26
Avenida Honorio Pueyrredon 1701,Entre Ríos y Rivadavia,transit,,44
Esmeralda 1101,Balcarce 1,transit,,16
Esmeralda 1101,Entre Ríos y Rivadavia,bicycling,,12
Esmeralda 1101,Entre Ríos y Rivadavia,transit,,22
Alquiler Departamento 3 Ambientes - Belgrano - Roosevelt 1801,Balcarce 1,transit,,107
Alquiler Departamento 3 Ambientes - Belgrano - Roosevelt 1801,Entre Ríos y Rivadavia,bicycling,,86
Alquiler Departamento 3 Ambientes - Belgrano - Roosevelt 1801,Entre Ríos y Rivadavia,transit,,99
Mario Bravo 701,Balcarce 1,transit,,33
Mario Bravo 701,Entre Ríos y Rivadavia,bicycling,,15
Mario Bravo 701,Entre Ríos y Rivadavia,transit,,23
GUEMES 4201,Balcarce 1,transit,,23
GUEMES 4201,Entre Ríos y Rivadavia,bicycling,,20
GUEMES 4201,Entre Ríos y Rivadavia,transit,,33
Charcas 2701,Balcarce 1,transit,,17
Charcas 2701,Entre Ríos y Rivadavia,bicycling,,13
Charcas 2701,Entre Ríos y Rivadavia,transit,,26
Olazabal 1801,Balcarce 1,transit,,40
Olazabal 1801,Entre Ríos y Rivadavia,bicycling,,38
Olazabal 1801,Entre Ríos y Rivadavia,transit,,38
CORONEL DIAZ 2101,Balcarce 1,transit,,21
CORONEL DIAZ 2101,Entre Ríos y Rivadavia,bicycling,,16
CORONEL DIAZ 2101,Entre Ríos y Rivadavia,transit,,28
Acoyte 701,Balcarce 1,transit,,32
Acoyte 701,Entre Ríos y Rivadavia,bicycling,,20
Acoyte 701,Entre Ríos y Rivadavia,transit,,24
Federico Lacroze 3401,Balcarce 1,transit,,42
Federico Lacroze 3401,Entre Ríos y Rivadavia,bicycling,,30
Federico Lacroze 3401,Entre Ríos y Rivadavia,transit,,34
SANTA FE 4801,Balcarce 1,transit,,25
SANTA FE 4801,Entre Ríos y Rivadavia,bicycling,,22
SANTA FE 4801,Entre Ríos y Rivadavia,transit,,29
Conesa 2100 Entre Juramento y Mendoza,Balcarce 1,transit,,37
Conesa 2100 Entre Juramento y Mendoza,Entre Ríos y Rivadavia,bicycling,,39
Conesa 2100 Entre Juramento y Mendoza,Entre Ríos y Rivadavia,transit,,41
Scalabrini Ortiz 2701,Balcarce 1,transit,,21
Scalabrini Ortiz 2701,Entre Ríos y Rivadavia,bicycling,,19
Scalabrini Ortiz 2701,Entre Ríos y Rivadavia,transit,,32
Quintana 201,Balcarce 1,transit,,27
Quintana 201,Entre Ríos y Rivadavia,bicycling,,10
Quintana 201,Entre Ríos y Rivadavia,transit,,26
Av. Diaz Velez 5501,Balcarce 1,transit,,46
Av. Diaz Velez 5501,Entre Ríos y Rivadavia,bicycling,,21
Av. Diaz Velez 5501,Entre Ríos y Rivadavia,transit,,35
Gurruchaga 2301,Balcarce 1,transit,,24
Gurruchaga 2301,Entre Ríos y Rivadavia,bicycling,,22
Gurruchaga 2301,Entre Ríos y Rivadavia,transit,,34
Guemes 4801,Balcarce 1,transit,,24
Guemes 4801,Entre Ríos y Rivadavia,bicycling,,22
Guemes 4801,Entre Ríos y Rivadavia,transit,,34
Borges 2301,Balcarce 1,transit,,24
Borges 2301,Entre Ríos y Rivadavia,bicycling,,21
Borges 2301,Entre Ríos y Rivadavia,transit,,35
Echeverría 1401,Balcarce 1,transit,,40
Echeverría 1401,Entre Ríos y Rivadavia,bicycling,,36
Echeverría 1401,Entre Ríos y Rivadavia,transit,,40
Vidal ,Balcarce 1,transit,,38
Vidal ,Entre Ríos y Rivadavia,bicycling,,41
Vidal ,Entre Ríos y Rivadavia,transit,,42
AV. CABILDO,Balcarce 1,transit,,35
AV. CABILDO,Entre Ríos y Rivadavia,bicycling,,41
AV. CABILDO,Entre Ríos y Rivadavia,transit,,39
Don Bosco ,Balcarce 1,transit,,47
Don Bosco ,Entre Ríos y Rivadavia,bicycling,,54
Don Bosco ,Entre Ríos y Rivadavia,transit,,53
Av. Pedro Goyena ,Balcarce 1,transit,,31
Av. Pedro Goyena ,Entre Ríos y Rivadavia,bicycling,,22
Av. Pedro Goyena ,Entre Ríos y Rivadavia,transit,,23
